id=828024724710182912 ; || ; actores españoles progres , americanos , queman negro gala Oscars . ; || ; 0
id=828024709761658880 ; || ; marica explicame veces entiendo . — vez venir ensuciar cc insultos homof ... https : //t.co/hSGMfcEtos ; || ; 0
id=828024426356686848 ; || ; @ pabloviko6 subnormal jajajajajajaja tkm ; || ; 0
id=828024390315102208 ; || ; ridículo , ayer dije árabe necesario comer culos iban discriminarle tacharon racista ; || ; 0
id=828024204704505858 ; || ; @ SuperFalete jajajajaja . jodes maricon . ; || ; 1
id=828024196349444101 ; || ; guay ? rojos reivindicativos actores . progre . ; || ; 0
id=828024193312751620 ; || ; cojones tan racistas blancos hoy día hetero patriarcado inver… https : //t.co/ujmxe6fNpq ; || ; 0
id=828023872347897858 ; || ; Hostia mamón ! ! @ Dramonator ; || ; 0
id=828023789988478983 ; || ; puto momento tumblr decidió `` ojos negros pozos '' `` piel aceitunada '' ser BLANCO PAPEL OJOS GRISES . ; || ; 0
id=828023192086335490 ; || ; Rovira lleva siendo subnormal 1980. ; || ; 1
id=828023016785326081 ; || ; cine progre guay demás facha , fascista ... https : //t.co/ap7WYVzPQW ; || ; 1
id=828022929304727552 ; || ; mejor momento día irme cama mamona ; || ; 0
id=828022592414023681 ; || ; Dale `` gusta '' página Facebook recibirás menos 24 horas sodomita enloquecido Amazon . ; || ; 0
id=828022423983419392 ; || ; Putos nazis tío mecagoenlaostia . # theknick ; || ; 1
id=828022419281629188 ; || ; @ coquegarcia independentista usted . ultraderechista , facha , limitado . Da usted pena . @ AlbertGuma @ Rlvrlvrlv ; || ; 1
id=828022327585697792 ; || ; @ Luismita dogmatismo cura cualquier colegio LH . insulta usted ( `` facha '' `` tonto '' `` mentiroso '' , etc ) @ AlbertGuma @ Rlvrlvrlv ; || ; 0
id=828022290730405889 ; || ; Buah haría nunca twitter , lleno rojos mierda . ; || ; 1
id=828022283755220994 ; || ; @ sir_alex_ito diría cosas bonitas odio puto meme negro joderalexquetepartaunrayo ; || ; 1
id=828022142138773505 ; || ; hago q yendo Warren dioooooos culiao ; || ; 0
id=828021893395599360 ; || ; contado historia guiri detrás mio ? hombre subnormal favor ; || ; 1
id=828021524024197122 ; || ; @ bolsamania Anita Si imparciales tal ves derecha apoyaría ... rojos entra PP cierra grifo ; || ; 1
id=828021340061986816 ; || ; nazis ucranianos bombardeando civiles . bueno , Zozulya é futbolista perseguido culpa é Trump Rusia ; || ; 0
id=828021138152423425 ; || ; @ Barandaand @ lapaseata actores fachas ... ; || ; 1
id=828021043608555520 ; || ; @ mstrubell @ JoelJoanJuve @ miqueliceta mamón , ben cert ; || ; 1
id=828021034725019648 ; || ; '' Boy Meets Boy '' mierda cupido lesbi cantarina bastante molesta ; || ; 1
id=828020402597330944 ; || ; marica ones cargo dijo voy pegar tiro `` 2 semanas despues sigue silencio escondido `` ; || ; 1
id=828020302307287041 ; || ; ver si dan Goya youtuber llevó hostia subnormal . ; || ; 0
id=828020302135382016 ; || ; # goya2017 pasión negro guapas cruz salamanca ... ; || ; 0
id=828020290819088385 ; || ; Chica denuncia comportamientos machistas : ¡Feminazi ! ¡Guarra ! ¡Radical ! Chico denuncia comportamientos machistas : ¡Héroe ! ¡Valiente ! ? ? ? ? ? ; || ; 0
id=828020269331660803 ; || ; Tras hacer chistes sudacas debe ser escoltado , nuevamente , grupo Centauro policía presentan HSM . ; || ; 1
id=828020243704475649 ; || ; Hey @ reciklaje nominada `` viejo marico '' ; || ; 1
id=828019739532414976 ; || ; @ MrAlvatros25 @ Edd33Martin hecho dos subnormal ; || ; 0
id=828019737829449728 ; || ; @ SabakJacare Ideas racistas , xenófobas , machistas ... defiende Trump . siento respetable.Por comparo ; || ; 0
id=828019711002738692 ; || ; @ Francis76440634 Manchego Maricón debería tener sucia boca callada . digo bien . Luego esconde razón Ratas . ; || ; 1
id=828019541242413061 ; || ; @ Francis76440634 día Preescolar ataque Izquierda , día haré maricón , NUNCA . JAJAJA ; || ; 0
id=828019217433784321 ; || ; mejor ser facha rojo alcalde https : //t.co/hehBS0DOYu ; || ; 1
id=828019202116218881 ; || ; lesbiana ? — https : //t.co/5UtfZTWgQb ; || ; 0
id=828019021324906501 ; || ; Goya mejor película darlo Arturo Fernández grito `` rojos malolientes '' . # goya2017 ; || ; 1
id=828018982041026560 ; || ; siento profundamente subnormal empatizando propios personajes . ; || ; 0
id=828018953691791364 ; || ; madre llevas bien mal subnormal ? — madre llevo carajo , gilipollas https : //t.co/QRAdt5WagI ; || ; 0
id=828018707758739457 ; || ; @ pepone34 @ barreracuevasfr dos horas clavando señalita suelo , mamona ! ! ; || ; 0
id=828018695200980993 ; || ; Joven nigeriano podría ser deportado propia muerte . Suecia dice puede `` probar '' gay . Firma : https : //t.co/hpIqFNTf0w ; || ; 0
id=828018692042682371 ; || ; @ FeelSpheal hice pasar tia vez lol llamaron feminazi , puta guarra , zorra tendria fregando cocina ; || ; 0
id=828018452157849600 ; || ; Ghostt subnormal nota legua ... — Mira llora puto bizco https : //t.co/1NKEvvwn0q ; || ; 1
id=828018419102527488 ; || ; independentista ( ergo facha ) llama «nacionalista» # OleTú https : //t.co/CleIOU8aQr ; || ; 1
id=828018247438102528 ; || ; Encima voy quito música , diciendo Dan subnormal todas letras ; || ; 0
id=828018133491412992 ; || ; vaya dejada chavala vale James subnormal digas inventado louis FAVOR gracias ; || ; 0
